"code", "display", "parent"
"https://www.gov.uk/api/content/education/administering-student-funding", "Administering student funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/further-education-funding-data", "Further education funding data", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/further-education-building-and-premises", "Further education buildings and land", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/free-meals-for-16-to-18-year-olds", "Free meals for 16 to 18 year olds", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/apprenticeships-funding", "Apprenticeships funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/dance-and-drama-funding-for-16-to-19-year-olds", "Dance and drama funding for 16 to 19 year olds", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/european-social-fund-esf-and-skills-funding", "European Social Fund (ESF) and skills funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/adult-education-funding", "Adult education funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships", "Apprenticeships, traineeships and internships", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/becoming-an-intern-or-trainee", "Becoming an intern or trainee", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/becoming-an-apprentice", "Becoming an apprentice", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/hiring-and-training-an-apprentice", "Hiring and training an apprentice", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/hiring-and-training-and-intern-or-trainee", "Hiring and training an intern or trainee", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/types-of-apprenticeships", "Types of apprenticeships", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/careers-guidance-in-further-and-higher-education", "Careers guidance in further and higher education", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection", "Further education financial management and data collection", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/local-authority-further-education-financial-reporting-and-assurance", "Local authority further education financial reporting and assurance", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/data-collection-for-further-education-providers", "Data collection for further education providers", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/financial-management-for-further-education-providers", "Financial management for further education providers", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/adult-and-community-learning", "Adult and community learning", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications", "Further and higher education courses and qualifications", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/principal-learning-qualifications", "Principal learning qualifications", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/functional-skills", "Functional skills", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/t-levels", "T levels", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/running-a-further-or-higher-education-institution", "Running a further or higher education institution", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/learning-records-service-lrs", "Learning Records Service (LRS)", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance", "Pupil wellbeing, behaviour and attendance", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/safeguarding-pupils", "Safeguarding pupils", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/alternative-provision-and-pupil-referral-units", "Alternative provision and pupil referral units", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/school-bullying", "School bullying", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/health-safety-and-wellbeing-in-schools", "Health, safety and wellbeing in schools", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/school-attendance-and-absence", "School attendance and absence", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/school-behaviour-and-exclusions", "School behaviour and exclusions", "https://www.gov.uk/api/content/education/pupil-wellbeing-behaviour-and-attendance"
"https://www.gov.uk/api/content/education/teaching-and-leadership", "Teaching and leadership", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/teacher-records", "Teacher records", "https://www.gov.uk/api/content/education/teaching-and-leadership"
"https://www.gov.uk/api/content/education/teacher-pay-pensions-and-conditions", "Teacher pay, pensions and conditions", "https://www.gov.uk/api/content/education/teaching-and-leadership"
"https://www.gov.uk/api/content/education/recruiting-inducting-and-managing-teachers", "Recruiting, inducting and managing teachers", "https://www.gov.uk/api/content/education/teaching-and-leadership"
"https://www.gov.uk/api/content/education/teacher-training-and-professional-development", "Teacher training and professional development", "https://www.gov.uk/api/content/education/teaching-and-leadership"
"https://www.gov.uk/api/content/education/qualified-teacher-status-qts", "Qualified Teacher Status (QTS)", "https://www.gov.uk/api/content/education/teacher-training-and-professional-development"
"https://www.gov.uk/api/content/education/initial-teacher-training-itt", "Initial Teacher Training (ITT)", "https://www.gov.uk/api/content/education/teacher-training-and-professional-development"
"https://www.gov.uk/api/content/education/school-leadership", "School leadership", "https://www.gov.uk/api/content/education/teacher-training-and-professional-development"
"https://www.gov.uk/api/content/education/teaching-standards-misconduct-and-practice", "Teaching standards, misconduct and practice", "https://www.gov.uk/api/content/education/teaching-and-leadership"
"https://www.gov.uk/api/content/education/inspections-and-performance-of-education-providers", "Inspections and performance of education providers", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers", "Inspection and performance of further education providers", "https://www.gov.uk/api/content/education/inspections-and-performance-of-education-providers"
"https://www.gov.uk/api/content/education/inspection-of-residential-provision-in-further-education-colleges", "Inspection of residential provision in further education colleges", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/further-education-intervention-notices-and-reports", "Further education intervention notices and reports", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/further-education-provider-performance-measures", "Further education provider performance measures", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/student-performance-in-further-education", "Student performance in further education", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/inspection-of-further-education-and-skills-providers", "Inspection of further education and skills providers", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/performance-data-and-ofsted-reports-of-further-education-providers", "Performance data and Ofsted reports of further education providers", "https://www.gov.uk/api/content/education/inspection-and-performance-of-further-education-providers"
"https://www.gov.uk/api/content/education/inspection-and-performance-of-schools", "Inspection and performance of schools", "https://www.gov.uk/api/content/education/inspections-and-performance-of-education-providers"
"https://www.gov.uk/api/content/education/inspection-of-independent-schools", "Inspection of independent schools", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/school-performance-measures", "School performance measures", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/inspection-of-british-schools-overseas", "Inspection of British schools overseas", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/inspection-of-maintained-schools-and-academies", "Inspection of maintained schools and academies", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/inspection-of-boarding-and-residential-schools", "Inspection of boarding and residential schools", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/school-performance-tables-and-ofsted-reports", "School performance tables and Ofsted reports", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/inspection-of-local-authority-support-for-schools", "Inspection of local authority support for schools", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
"https://www.gov.uk/api/content/education/pupil-performance-in-schools", "Pupil performance in schools", "https://www.gov.uk/api/content/education/inspection-and-performance-of-schools"
